VAR,Variable,COU,Country,YEA,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),BEL,Belgium,2010,2010,PC,Percentage,0,Units,,,95.9,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),BEL,Belgium,2011,2011,PC,Percentage,0,Units,,,97.1,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),BEL,Belgium,2012,2012,PC,Percentage,0,Units,,,92.16,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),BEL,Belgium,2013,2013,PC,Percentage,0,Units,,,92.93,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),BEL,Belgium,2014,2014,PC,Percentage,0,Units,,,93.74,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),BEL,Belgium,2015,2015,PC,Percentage,0,Units,,,94.66,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),BEL,Belgium,2016,2016,PC,Percentage,0,Units,,,95.41,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),BEL,Belgium,2017,2017,PC,Percentage,0,Units,,,95.85,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),CZE,Czech Republic,1990,1990,PC,Percentage,0,Units,,,73.2,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),CZE,Czech Republic,2000,2000,PC,Percentage,0,Units,,,66.4,E,Estimated value
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),CZE,Czech Republic,2005,2005,PC,Percentage,0,Units,,,75.4,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),CZE,Czech Republic,2010,2010,PC,Percentage,0,Units,,,79.4,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),CZE,Czech Republic,2011,2011,PC,Percentage,0,Units,,,80.6,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),CZE,Czech Republic,2012,2012,PC,Percentage,0,Units,,,78.1,E,Estimated value
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),CZE,Czech Republic,2013,2013,PC,Percentage,0,Units,,,80,E,Estimated value
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),CZE,Czech Republic,2014,2014,PC,Percentage,0,Units,,,79.9,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),CZE,Czech Republic,2015,2015,PC,Percentage,0,Units,,,80.8,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),CZE,Czech Republic,2016,2016,PC,Percentage,0,Units,,,81.3,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),CZE,Czech Republic,2017,2017,PC,Percentage,0,Units,,,82.3,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),DNK,Denmark,1970,1970,PC,Percentage,0,Units,,,88,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),DNK,Denmark,1990,1990,PC,Percentage,0,Units,,,86.09999847,E,Estimated value
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),DNK,Denmark,2000,2000,PC,Percentage,0,Units,,,100,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),DNK,Denmark,2010,2010,PC,Percentage,0,Units,,,100.1,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),DNK,Denmark,2011,2011,PC,Percentage,0,Units,,,100.1,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),DNK,Denmark,2012,2012,PC,Percentage,0,Units,,,100,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),DNK,Denmark,2013,2013,PC,Percentage,0,Units,,,100,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),DNK,Denmark,2014,2014,PC,Percentage,0,Units,,,100,E,Estimated value
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),DNK,Denmark,2015,2015,PC,Percentage,0,Units,,,91.15000153,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),DNK,Denmark,2016,2016,PC,Percentage,0,Units,,,91.84,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),DNK,Denmark,2017,2017,PC,Percentage,0,Units,,,91.9,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),FIN,Finland,1970,1970,PC,Percentage,0,Units,,,53,E,Estimated value
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),FIN,Finland,1980,1980,PC,Percentage,0,Units,,,69,E,Estimated value
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),FIN,Finland,1990,1990,PC,Percentage,0,Units,,,76,E,Estimated value
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),FIN,Finland,2000,2000,PC,Percentage,0,Units,,,100,E,Estimated value
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),FIN,Finland,2010,2010,PC,Percentage,0,Units,,,100,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),FIN,Finland,2011,2011,PC,Percentage,0,Units,,,100,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),FIN,Finland,2012,2012,PC,Percentage,0,Units,,,100,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),FIN,Finland,2013,2013,PC,Percentage,0,Units,,,100,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),FIN,Finland,2014,2014,PC,Percentage,0,Units,,,100,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),FRA,France,2010,2010,PC,Percentage,0,Units,,,100,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),FRA,France,2011,2011,PC,Percentage,0,Units,,,100,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),FRA,France,2012,2012,PC,Percentage,0,Units,,,100,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),FRA,France,2013,2013,PC,Percentage,0,Units,,,100,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),FRA,France,2014,2014,PC,Percentage,0,Units,,,98,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),FRA,France,2015,2015,PC,Percentage,0,Units,,,100,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),FRA,France,2016,2016,PC,Percentage,0,Units,,,100,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),FRA,France,2017,2017,PC,Percentage,0,Units,,,100,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),DEU,Germany,2005,2005,PC,Percentage,0,Units,,,97.3,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),DEU,Germany,2010,2010,PC,Percentage,0,Units,,,100,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),DEU,Germany,2011,2011,PC,Percentage,0,Units,,,100,E,Estimated value
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),DEU,Germany,2012,2012,PC,Percentage,0,Units,,,99.99,E,Estimated value
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),DEU,Germany,2013,2013,PC,Percentage,0,Units,,,99.99,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),DEU,Germany,2014,2014,PC,Percentage,0,Units,,,100,E,Estimated value
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),DEU,Germany,2015,2015,PC,Percentage,0,Units,,,100,E,Estimated value
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),DEU,Germany,2016,2016,PC,Percentage,0,Units,,,100,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),GRC,Greece,2000,2000,PC,Percentage,0,Units,,,85,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),GRC,Greece,2005,2005,PC,Percentage,0,Units,,,91,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),GRC,Greece,2010,2010,PC,Percentage,0,Units,,,87.4,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),GRC,Greece,2011,2011,PC,Percentage,0,Units,,,88.2,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),GRC,Greece,2012,2012,PC,Percentage,0,Units,,,92.04,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),GRC,Greece,2013,2013,PC,Percentage,0,Units,,,92.8,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),GRC,Greece,2014,2014,PC,Percentage,0,Units,,,92.8,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),GRC,Greece,2015,2015,PC,Percentage,0,Units,,,93.4,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),GRC,Greece,2016,2016,PC,Percentage,0,Units,,,93.4,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),HUN,Hungary,1970,1970,PC,Percentage,0,Units,,,21,E,Estimated value
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),HUN,Hungary,1980,1980,PC,Percentage,0,Units,,,36,E,Estimated value
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),HUN,Hungary,1990,1990,PC,Percentage,0,Units,,,39.4,E,Estimated value
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),HUN,Hungary,2000,2000,PC,Percentage,0,Units,,,63.7,E,Estimated value
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),HUN,Hungary,2005,2005,PC,Percentage,0,Units,,,60.6,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),HUN,Hungary,2010,2010,PC,Percentage,0,Units,,,71.8,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),HUN,Hungary,2011,2011,PC,Percentage,0,Units,,,72.5,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),HUN,Hungary,2012,2012,PC,Percentage,0,Units,,,72.93918765,E,Estimated value
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),HUN,Hungary,2013,2013,PC,Percentage,0,Units,,,72.76,E,Estimated value
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),HUN,Hungary,2014,2014,PC,Percentage,0,Units,,,73.6,E,Estimated value
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),HUN,Hungary,2015,2015,PC,Percentage,0,Units,,,76.59,E,Estimated value
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),HUN,Hungary,2016,2016,PC,Percentage,0,Units,,,78.18,E,Estimated value
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),HUN,Hungary,2017,2017,PC,Percentage,0,Units,,,79.3,E,Estimated value
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),ISL,Iceland,1990,1990,PC,Percentage,0,Units,,,6,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),ISL,Iceland,2000,2000,PC,Percentage,0,Units,,,90,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),ISL,Iceland,2005,2005,PC,Percentage,0,Units,,,89,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),ISL,Iceland,2010,2010,PC,Percentage,0,Units,,,91,E,Estimated value
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),IRL,Ireland,1980,1980,PC,Percentage,0,Units,,,11.19999981,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),IRL,Ireland,1990,1990,PC,Percentage,0,Units,,,66,E,Estimated value
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),IRL,Ireland,2005,2005,PC,Percentage,0,Units,,,83,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),IRL,Ireland,2011,2011,PC,Percentage,0,Units,,,96,E,Estimated value
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),IRL,Ireland,2012,2012,PC,Percentage,0,Units,,,92.92,E,Estimated value
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),IRL,Ireland,2013,2013,PC,Percentage,0,Units,,,93.12,E,Estimated value
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),IRL,Ireland,2014,2014,PC,Percentage,0,Units,,,93.33,E,Estimated value
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),IRL,Ireland,2015,2015,PC,Percentage,0,Units,,,93.53,E,Estimated value
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),IRL,Ireland,2016,2016,PC,Percentage,0,Units,,,93.74,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),IRL,Ireland,2017,2017,PC,Percentage,0,Units,,,93.74,E,Estimated value
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),JPN,Japan,1980,1980,PC,Percentage,0,Units,,,30,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),JPN,Japan,1990,1990,PC,Percentage,0,Units,,,44,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),JPN,Japan,2000,2000,PC,Percentage,0,Units,,,62,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),JPN,Japan,2005,2005,PC,Percentage,0,Units,,,69.25640106,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),JPN,Japan,2010,2010,PC,Percentage,0,Units,,,75.09999847,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),JPN,Japan,2011,2011,PC,Percentage,0,Units,,,75.80000305,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),JPN,Japan,2012,2012,PC,Percentage,0,Units,,,76.3,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),JPN,Japan,2013,2013,PC,Percentage,0,Units,,,77,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),JPN,Japan,2014,2014,PC,Percentage,0,Units,,,77.6,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),JPN,Japan,2015,2015,PC,Percentage,0,Units,,,77.8,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),JPN,Japan,2016,2016,PC,Percentage,0,Units,,,78.3,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),KOR,Korea,1990,1990,PC,Percentage,0,Units,,,32.90000153,E,Estimated value
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),KOR,Korea,2000,2000,PC,Percentage,0,Units,,,70.5,E,Estimated value
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),KOR,Korea,2005,2005,PC,Percentage,0,Units,,,83.5,E,Estimated value
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),KOR,Korea,2010,2010,PC,Percentage,0,Units,,,90.09999847,E,Estimated value
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),KOR,Korea,2011,2011,PC,Percentage,0,Units,,,90.90000153,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),KOR,Korea,2012,2012,PC,Percentage,0,Units,,,91.59999847,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),KOR,Korea,2013,2013,PC,Percentage,0,Units,,,92.11,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),KOR,Korea,2014,2014,PC,Percentage,0,Units,,,92.54,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),KOR,Korea,2015,2015,PC,Percentage,0,Units,,,92.89,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),KOR,Korea,2016,2016,PC,Percentage,0,Units,,,93.22,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),LUX,Luxembourg,1990,1990,PC,Percentage,0,Units,,,90.40000153,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),LUX,Luxembourg,2000,2000,PC,Percentage,0,Units,,,99.9,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),LUX,Luxembourg,2005,2005,PC,Percentage,0,Units,,,99.9,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),LUX,Luxembourg,2010,2010,PC,Percentage,0,Units,,,98.7,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),LUX,Luxembourg,2011,2011,PC,Percentage,0,Units,,,100,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),LUX,Luxembourg,2012,2012,PC,Percentage,0,Units,,,100,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),LUX,Luxembourg,2013,2013,PC,Percentage,0,Units,,,100,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),LUX,Luxembourg,2014,2014,PC,Percentage,0,Units,,,98.5,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),LUX,Luxembourg,2015,2015,PC,Percentage,0,Units,,,98.5,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),LUX,Luxembourg,2016,2016,PC,Percentage,0,Units,,,98.5,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),LUX,Luxembourg,2017,2017,PC,Percentage,0,Units,,,100,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),MEX,Mexico,1990,1990,PC,Percentage,0,Units,,,50.1,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),MEX,Mexico,2000,2000,PC,Percentage,0,Units,,,59.2,E,Estimated value
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),MEX,Mexico,2005,2005,PC,Percentage,0,Units,,,67.6,E,Estimated value
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),MEX,Mexico,2010,2010,PC,Percentage,0,Units,,,70.57,E,Estimated value
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),NLD,Netherlands,1970,1970,PC,Percentage,0,Units,,,100,E,Estimated value
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),NLD,Netherlands,1980,1980,PC,Percentage,0,Units,,,85.90000153,E,Estimated value
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),NLD,Netherlands,1990,1990,PC,Percentage,0,Units,,,98,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),NLD,Netherlands,2000,2000,PC,Percentage,0,Units,,,100,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),NLD,Netherlands,2005,2005,PC,Percentage,0,Units,,,100,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),NLD,Netherlands,2010,2010,PC,Percentage,0,Units,,,100,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),NLD,Netherlands,2011,2011,PC,Percentage,0,Units,,,100,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),NLD,Netherlands,2012,2012,PC,Percentage,0,Units,,,100,,
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),NLD,Netherlands,2013,2013,PC,Percentage,0,Units,,,100,,
